Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2024-03-11,10,1596.6488093712567,591.6064131438073,3.0,3,,,,0.3468901897810594,1.6555426416547157,0.2501575156369456,844,,,,,246712,,
2024-03-12,114,2254.6795365577486,11040.860946933271,97.0,62,,,,0.8389236296309454,3.3585320047159573,0.2501575156369456,12236,,,,,4268208,2187317,
2024-03-13,43,1698.2224063618833,2375.8971000176934,12.0,12,,,,0.735387398205272,1.6160019090337918,0.2501575156369456,3286,,,,,2150903,,
2024-03-14,100,2315.095743103928,11331.623590100407,113.0,64,,,,0.9787284563341573,3.120327094183272,0.2550178709721834,11611,,,,,2686707,3060717,
2024-03-15,68,1786.5872765025767,4196.098933742987,27.0,27,,,,0.627292673697989,1.7692076068351226,0.2615283118022613,5781,,,,,3802226,,
2024-03-16,12,1609.4131003099542,515.3347115877999,1.0,1,,,,0.3918410596838434,1.4896700957748494,0.2501575156369456,814,,,,,489460,,
2024-03-17,17,1628.5021329857507,996.6762200557275,5.0,5,,,,0.3606200871247934,1.8077239349455083,0.2501575156369456,1509,,,,,845260,,
2024-03-18,124,2456.8375700976276,13869.873297577258,132.0,84,,,,0.6654291472407583,3.392818649267479,0.25727547041710785,14523,,,,,4737173,2986686,
2024-03-19,69,1779.8471173130977,4507.018267718489,28.0,27,,,,0.5931519433310241,2.3592996218107114,0.2501575156369456,6037,,,,,3659223,,
2024-03-20,138,2434.1369999443455,14325.800258889381,136.0,89,,,,0.7178594762838686,3.170136606785715,0.2594856894590449,15514,,,,,4865196,2939035,
2024-03-21,24,1664.311881669089,1895.1557749316632,18.0,18,,,,0.8921591530032835,1.6384731134425072,0.28426990413289277,2558,,,,,1516505,,
2024-03-22,163,2539.6170369819224,15422.639317984447,143.0,96,,,,0.8792057107836545,3.2288664802666194,0.2615283118022613,17171,,,,,7099935,3002339,
2024-03-23,6,1610.7615987367108,319.22157163742474,1.0,1,,,,0.34722242928622005,1.589369677449214,0.3411238500283891,443,,,,,514688,,
2024-03-24,77,2273.1628832635024,10452.067795165989,107.0,60,,,,0.8843842493884233,3.3044962776315083,0.28426990413289277,10095,,,,,1725304,2903243,
2024-03-25,51,1731.7342837267565,2909.385770314939,19.0,19,,,,0.6972279666396533,1.5310565007637187,0.2615283118022613,4054,,,,,2777842,,
2024-03-26,36,1705.2379289134906,2245.5054832807846,16.0,16,,,,0.5600550151235496,1.5340632412934425,0.28426990413289277,3266,,,,,2282149,,
2024-03-27,128,2402.1902738472377,13807.316711006253,137.0,87,,,,0.8832794642955423,3.3954644148514035,0.2956407002982085,14792,,,,,3969334,3062598,
2024-03-28,11,1617.6966549414553,482.1552976622171,1.0,1,,,,0.3392618545240722,1.472598393147593,0.30701149646352416,809,,,,,644428,,
2024-03-29,46,1724.8664830669977,2538.6579074939577,14.0,14,,,,0.404119686120171,1.6070846032906838,0.2460565662472367,3513,,,,,2649359,,
2024-03-30,125,1917.3486792693232,7156.8373544852275,41.0,41,,,,0.635716297784221,1.4538057626236174,0.2615283118022613,10153,,,,,6250311,,
